ADX;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],128
ADX;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],15
ADX;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],160
ADX;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],34
ADXR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],2
ADXR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],271
ADXR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],96
APO;[[CLOSE_PRICE]],10,30,[[MAMA]]
APO;[[CLOSE_PRICE]],11,28,[[KAMA]]
APO;[[CLOSE_PRICE]],28,210,[[DEMA]]
APO;[[HIGH_PRICE]],4,9,[[TRIMA]]
APO;[[HIGH_PRICE]],7,12,[[TEMA]]
APO;[[LOW_PRICE]],13,107,[[EMA]]
APO;[[LOW_PRICE]],185,678,[[EMA]]
APO;[[LOW_PRICE]],46,138,[[WMA]]
AROON;[HIGH_PRICE],[LOW_PRICE],56,[[OUTPUT2]]
AROON;[HIGH_PRICE],[LOW_PRICE],95,[[OUTPUT1]]
ATR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],112
ATR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],12
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],10
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],106
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],139
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],158
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],238
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],678
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],6
CMO;[[CLOSE_PRICE]],10
CMO;[[CLOSE_PRICE]],117
CMO;[[CLOSE_PRICE]],50
CMO;[[HIGH_PRICE]],25
CMO;[[LOW_PRICE]],122
DX;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],64
MACD;[[CLOSE_PRICE]],13,64,18,[[OUTPUT2]]
MACD;[[CLOSE_PRICE]],15,30,24,[[OUTPUT3]]
MACD;[[CLOSE_PRICE]],31,55,42,[[OUTPUT1]]
MACD;[[CLOSE_PRICE]],35,210,67,[[OUTPUT3]]
MACD;[[CLOSE_PRICE]],66,262,146,[[OUTPUT3]]
MACD;[[CLOSE_PRICE]],7,43,25,[[OUTPUT1]]
MACD;[[CLOSE_PRICE]],8,40,13,[[OUTPUT2]]
MACD;[[HIGH_PRICE]],37,238,93,[[OUTPUT3]]
MACD;[[HIGH_PRICE]],6,147,23,[[OUTPUT2]]
MACD;[[HIGH_PRICE]],7,56,18,[[OUTPUT2]]
MACD;[[LOW_PRICE]],27,203,75,[[OUTPUT2]]
MINUS_DI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],120
MINUS_DI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],47
MINUS_DI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],65
MINUS_DM;[HIGH_PRICE],[LOW_PRICE],254
MINUS_DM;[HIGH_PRICE],[LOW_PRICE],32
MINUS_DM;[HIGH_PRICE],[LOW_PRICE],5
MINUS_DM;[HIGH_PRICE],[LOW_PRICE],65
MINUS_DM;[HIGH_PRICE],[LOW_PRICE],68
MOM;[[CLOSE_PRICE]],14
MOM;[[CLOSE_PRICE]],168
MOM;[[CLOSE_PRICE]],252
MOM;[[LOW_PRICE]],48
MOM;[[LOW_PRICE]],58
PLUS_DI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],271
PLUS_DM;[HIGH_PRICE],[LOW_PRICE],133
PLUS_DM;[HIGH_PRICE],[LOW_PRICE],149
PLUS_DM;[HIGH_PRICE],[LOW_PRICE],31
PLUS_DM;[HIGH_PRICE],[LOW_PRICE],618
PLUS_DM;[HIGH_PRICE],[LOW_PRICE],63
PLUS_DM;[HIGH_PRICE],[LOW_PRICE],6
PPO;[[CLOSE_PRICE]],18,25,[[SMA]]
