ADX;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],17
ADX;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],52
ADXR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],12
APO;[[CLOSE_PRICE]],12,33,[[KAMA]]
APO;[[CLOSE_PRICE]],16,120,[[TRIMA]]
APO;[[CLOSE_PRICE]],21,25,[[WMA]]
APO;[[CLOSE_PRICE]],49,70,[[DEMA]]
APO;[[CLOSE_PRICE]],7,11,[[T3]]
AROON;[HIGH_PRICE],[LOW_PRICE],120,[[OUTPUT2]]
AROON;[HIGH_PRICE],[LOW_PRICE],12,[[OUTPUT1]]
AROON;[HIGH_PRICE],[LOW_PRICE],42,[[OUTPUT2]]
ATR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],17
ATR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],21
ATR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],268
ATR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],7
ATR;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],72
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],215
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],34
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],62
CCI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],7
CMO;[[CLOSE_PRICE]],17
CMO;[[CLOSE_PRICE]],26
MACD;[[CLOSE_PRICE]],12,48,30,[[OUTPUT1]]
MACD;[[CLOSE_PRICE]],13,62,20,[[OUTPUT2]]
MACD;[[CLOSE_PRICE]],17,50,35,[[OUTPUT3]]
MACD;[[CLOSE_PRICE]],28,126,49,[[OUTPUT3]]
MACD;[[CLOSE_PRICE]],30,34,38,[[OUTPUT2]]
MACD;[[CLOSE_PRICE]],38,42,48,[[OUTPUT2]]
MACD;[[CLOSE_PRICE]],7,36,10,[[OUTPUT3]]
MACD;[[CLOSE_PRICE]],7,39,13,[[OUTPUT2]]
MACD;[[CLOSE_PRICE]],7,43,25,[[OUTPUT1]]
MACD;[[CLOSE_PRICE]],9,38,13,[[OUTPUT2]]
MACD;[[HIGH_PRICE]],28,48,38,[[OUTPUT1]]
MACD;[[HIGH_PRICE]],9,38,15,[[OUTPUT3]]
MACD;[[LOW_PRICE]],158,205,211,[[OUTPUT1]]
MACD;[[LOW_PRICE]],7,40,14,[[OUTPUT2]]
MINUS_DI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],17
MINUS_DI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],38
MINUS_DM;[HIGH_PRICE],[LOW_PRICE],21
MINUS_DM;[HIGH_PRICE],[LOW_PRICE],78
MOM;[[CLOSE_PRICE]],21
MOM;[[CLOSE_PRICE]],34
PLUS_DI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],12
PLUS_DI;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],17
PLUS_DM;[HIGH_PRICE],[LOW_PRICE],26
PLUS_DM;[HIGH_PRICE],[LOW_PRICE],52
PLUS_DM;[HIGH_PRICE],[LOW_PRICE],7
PPO;[[CLOSE_PRICE]],12,35,[[TEMA]]
PPO;[[CLOSE_PRICE]],34,45,[[SMA]]
PPO;[[CLOSE_PRICE]],38,57,[[SMA]]
PPO;[[CLOSE_PRICE]],40,52,[[T3]]
PPO;[[CLOSE_PRICE]],7,24,[[TEMA]]
PPO;[[HIGH_PRICE]],26,35,[[T3]]
ROC;[[CLOSE_PRICE]],52
RSI;[[CLOSE_PRICE]],21
RSI;[[CLOSE_PRICE]],34
RSI;[[CLOSE_PRICE]],7
STDDEV;[[CLOSE_PRICE]],17,1.45
STDDEV;[[CLOSE_PRICE]],21,0.97
STDDEV;[[CLOSE_PRICE]],52,0.76
STDDEV;[[CLOSE_PRICE]],62,1.08
STDDEV;[[CLOSE_PRICE]],7,0.97
STOCHF;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],17,16,[[SMA]],[[OUTPUT2]]
STOCHF;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],32,12,[[SMA]],[[OUTPUT1]]
STOCHF;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],34,12,[[SMA]],[[OUTPUT1]]
STOCHF;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],78,28,[[TEMA]],[[OUTPUT1]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],17,5,[[TRIMA]],13,[[MAMA]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],24,3,[[KAMA]],12,[[SMA]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],24,7,[[T3]],19,[[KAMA]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],27,6,[[SMA]],21,[[EMA]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],30,12,[[DEMA]],50,[[T3]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],32,7,[[DEMA]],25,[[MAMA]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],32,7,[[SMA]],25,[[SMA]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],32,7,[[TRIMA]],25,[[T3]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],34,7,[[SMA]],27,[[T3]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],36,7,[[WMA]],16,[[SMA]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],38,11,[[TEMA]],35,[[T3]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],38,6,[[TEMA]],40,[[TRIMA]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],50,14,[[DEMA]],38,[[TRIMA]]
STOCH;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],78,12,[[EMA]],66,[[KAMA]]
STOCHRSI;[[CLOSE_PRICE]],19,6,7,[[WMA]],[[OUTPUT2]]
STOCHRSI;[[CLOSE_PRICE]],21,10,15,[[MAMA]],[[OUTPUT1]]
STOCHRSI;[[CLOSE_PRICE]],22,7,9,[[MAMA]],[[OUTPUT1]]
STOCHRSI;[[CLOSE_PRICE]],22,7,9,[[TEMA]],[[OUTPUT1]]
STOCHRSI;[[CLOSE_PRICE]],25,7,9,[[WMA]],[[OUTPUT1]]
STOCHRSI;[[CLOSE_PRICE]],30,9,12,[[KAMA]],[[OUTPUT2]]
ULTOSC;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],10,7,15
ULTOSC;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],11,72,258
ULTOSC;[HIGH_PRICE],[LOW_PRICE],[CLOSE_PRICE],13,48,62
