(21,17.06938,-61.809739)
(33,17.12096,-61.84329)
(60,17.06938,-61.809739)
(78,17.06938,-61.809739)
(86,17.12096,-61.84329)
(89,17.06938,-61.809739)
(99,17.06938,-61.809739)
(111,-34.98515,-58.08922)
(123,-34.47706,-58.50177)
(290,-31.65292,-64.42826)
(336,-34.607357,-58.454595)
(515,-34.607357,-58.454595)
(548,-33.528049,-64.168459)
(565,-38.7196,-62.27243)
(706,-34.46312,-58.53481)
(710,-34.34905,-58.79308)
(733,-34.4113,-58.70139)
(796,-34.607357,-58.454595)
(829,-33.528049,-64.168459)
(847,-28.46957,-65.78524)
(852,-34.607357,-58.454595)
(887,-31.78333,-65.15)
(997,-35.05184,-58.76061)
(1025,-34.17269,-59.78987)
(1059,-34.37533,-59.82279)
(1113,-34.63772,-58.54078)
(1346,-36.488662,-60.283523)
(1369,-34.607357,-58.454595)
(1614,-31.4135,-64.18105)
(1846,-34.49674,-58.63915)
(1869,-31.98564,-59.2778)
(2452,-34.607357,-58.454595)
(2617,-35.65662,-63.75682)
(2688,-32.92864,-68.8351)
(3150,-31.34377,-64.33529)
(3161,-26.12708,-65.0496)
(3374,13.476855,-88.970909)
(3390,-34.92145,-57.95453)
(3811,-34.607357,-58.454595)
(3833,-35.18286,-59.08975)
(3881,-31.4135,-64.18105)
(3999,-34.50316,-58.70596)
(4061,-34.57028,-59.105)
(4071,-31.64751,-63.34323)
(4110,-32.97963,-68.78461)
(4177,-38.00228,-57.55754)
(4527,-34.41427,-58.65171)
(4599,-34.50747,-58.48703)
(4667,-34.8,-60.21667)
(4915,-34.45761,-58.91384)
(5376,-37.895963,-61.483747)
(5388,40.460689,-3.473215)
(5400,-27.46056,-58.98389)
(5485,-34.618493,-58.370293)
(5527,40.460689,-3.473215)
(5537,-34.607357,-58.454595)
(5598,-24.7859,-65.41166)
(5628,-28.93313,-65.09745)
(5677,-41.14557,-71.30822)
(5750,-29.53605,-62.26363)
(5780,-29.53605,-62.26363)
(5817,-34.6766,-58.56058)
(5955,-30.79757,-65.19162)
(5977,-28.50203,-65.66824)
(5990,40.460689,-3.473215)
(6028,-36.61667,-64.28333)
(6316,-37.32167,-59.13316)
(6416,-34.88496,-57.9667)
(6436,-34.46968,-58.75917)
(6516,-31.5375,-68.53639)
(6614,40.460689,-3.473215)
(6631,-34.52947,-58.4737)
(6636,-34.45505,-58.54614)
(6663,-31.29458,-64.29538)
(7070,12.56667,-70.01667)
(7073,12.52398,-70.02703)
(7085,12.49404,-70.0096)
(7161,51.536491,-0.101042)
(7166,26.86667,-77.51667)
(7207,26.530786,-78.630123)
(7229,25.39086,-76.55715)
(7313,25.058230000000002,-77.34306)
(7378,25.54717,-76.76405)
(7433,13.18664,-59.57418)
(7441,13.1527,-59.60391)
(7444,13.04917,-59.53281)
(7447,13.14882,-59.53865)
(7449,13.08631,-59.54779)
(7451,13.21667,-59.51667)
(7457,13.11687,-59.58849)
(7465,13.12562,-59.62559)
(7472,13.08,-59.59071)
(7481,13.15842,-59.59007)
(7483,13.1,-59.61667)
(7486,13.08759,-59.59778)
(7492,13.07145,-59.52753)
(7493,13.12198,-59.51635)
(7494,13.08548,-59.5109)
(7499,13.19541,-59.57633)
(7505,13.13434,-59.62191)
(7507,13.05966,-59.50796)
(7514,13.16882,-59.60524)
(7524,13.18304,-59.56487)
(7542,13.08142,-59.50453)
(7545,13.1,-59.45)
(7550,13.06731,-59.5688)
(7565,13.19185,-59.53329)
(7566,13.12961,-59.50249)
(7571,13.09056,-59.56993)
(7576,13.17794,-59.5907)
(7577,13.05584,-59.53137)
(7579,13.15164,-59.54223)
(7585,13.20677,-59.59177)
(7586,13.17034,-59.55937)
(7595,13.09618,-59.45538)
(7603,13.10282,-59.54358)
(7614,13.266438,-59.626206)
(7620,13.07388,-59.56761)
(7625,13.13892,-59.60659)
(7642,13.07513,-59.59688)
(7647,13.25725,-59.64176)
(7648,13.09005,-59.59541)
(7652,13.16474,-59.62924)
(7654,13.173431,-59.638534)
(7657,13.05774,-59.5183)
(7658,13.17481,-59.5824)
(7663,13.223444,-59.624169)
(7664,13.14864,-59.62302)
(7671,13.223444,-59.624169)
(7682,13.09313,-59.56723)
(7687,13.20317,-59.61905)
(7688,13.18562,-59.63451)
(7694,13.186501,-59.591793)
(7696,13.271504,-59.645557)
(7700,13.22211,-59.64089)
(7713,13.15683,-59.53645)
(7717,13.07287,-59.55976)
(7737,13.15929,-59.47513)
(7741,13.18906,-59.56597)
(7743,13.090775,-59.524293)
(7748,13.07758,-59.53144)
(7749,13.09245,-59.45704)
(7751,13.06667,-59.53333)
(7757,13.120131,-59.603234)
(7762,13.07325,-59.51702)
(7768,13.120131,-59.603234)
(7773,13.20235,-59.63946)
(7774,13.27272,-59.60368)
(7776,13.1544,-59.61862)
(7784,13.08857,-59.57469)
(7785,13.07773,-59.57889)
(7788,13.2652,-59.63334)
(7789,13.10391,-59.45482)
(7799,13.07471,-59.58869)
(7803,13.1367,-59.56836)
(7809,13.07066,-59.57922)
(7813,13.09494,-59.47054)
(7815,13.27801,-59.58939)
(7820,13.17577,-59.6345)
(7828,13.32211,-59.6008)
(7831,13.08333,-59.56215)
(7833,13.16392,-59.60096)
(7837,13.06919,-59.5295)
(7850,13.21699,-59.54135)
(7852,13.11258,-59.55403)
(7853,13.16176,-59.47959)
(7859,13.223444,-59.624169)
(7868,13.15683,-59.53645)
(7878,13.12309,-59.54319)
(7885,13.144115,-59.555728)
(7886,13.17254,-59.59489)
(7891,13.17669,-59.52371)
(7893,13.15683,-59.53645)
(7898,13.08208,-59.57247)
(7907,13.18676,-59.57663)
(7911,13.21672,-59.62021)
(7912,13.215,-59.63864)
(7916,13.09385,-59.5834)
(7922,13.07496,-59.58358)
(7924,13.10274,-59.51206)
(7952,17.498711,-88.188374)
(7954,17.25,-88.76667)
(8005,17.553378,-88.437217)
(8198,17.35458,-88.69183)
(8208,16.51419,-88.36647)
(8269,17.15611,-89.07139)
(8290,17.91598,-87.9659)
(8390,32.38167,-64.67806)
(8458,-16.53333,-68.06667)
(8883,-16.88333,-65.11667)
(9011,-10.91667,-66.88333)
(9107,-17.3895,-66.1568)
(9109,-16.49901,-68.146263)
(9111,-14.86667,-61.45)
(9293,-18.5,-66.53333)
(10528,-17.3895,-66.1568)
(10530,-18.21667,-64.16667)
(11144,-11.24268,-68.25541)
(11147,-16.41667,-68.5)
(11204,-18.28333,-64.21667)
(11306,-16.35,-68.73333)
(14537,-16.46667,-67.46667)
(15074,-16.5,-68.15)
(15131,20.00755,-105.45508)
(15168,-16.35,-67.76667)
(15235,-16.49901,-68.146263)
(15236,-13.8,-66.05)
(15770,-16.58333,-68.11667)
(16145,-13.8,-66.05)
(16391,-16.49901,-68.146263)
(16423,-19.03333,-58.85)
(16900,-16.474198,-68.09104)
(17176,-19.58361,-65.75306)
(17750,-16.640652,-64.661928)
(18001,-13.817846,-65.479928)
(18002,-16.48333,-62.66667)
(18015,-13.93544,-61.83117)
(18125,-17.78333,-62.86667)
(18213,-16.65,-62.68333)
(18260,-18.59302,-64.14491)
(18285,-13.8,-66.05)
(18286,-11.03951,-68.92088)
(18289,-17.8,-63.16667)
(18291,-16.9366,-63.42462)
